,Clean Accuracy (%),Alignment Score,MSE
IG,68.4,0.021537907746812655,0.9784620922531874
CAM,87.68,0.07960391795587918,0.9203960820441208
CAM++,83.41,0.1115886319487814,0.8884113680512186
